Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
"2,019",2,1,1,12,1,1,9,#NULL!,1,"1,825.663","5,476.989","454,590.087",1
"2,019",2,1,1,12,1,1,9,1,2,"4,706.678","26,129.364","2,724,539.680",2
"2,019",2,1,1,12,1,1,9,2,3,"1,460.485","20,446.790","1,032,562.895",1
"2,019",2,1,1,12,1,2,1,1,2,"1,547.798","10,834.586","640,788.372",1
"2,019",2,1,1,12,1,2,1,1,3,"1,711.594","25,673.910","1,410,353.456",1
"2,019",2,1,1,12,1,2,2,1,2,"6,469.594","40,643.764","2,702,694.749",4
"2,019",2,1,1,12,1,2,2,2,2,"2,909.978","21,439.591","1,214,706.496",2
"2,019",2,1,1,12,1,2,3,1,2,"7,742.056","60,903.088","2,505,230.456",5
"2,019",2,1,1,12,1,2,3,2,2,"2,575.062","18,025.434","1,188,391.113",2
"2,019",2,1,1,12,1,2,4,2,2,"6,616.645","54,862.695","4,606,388.057",5
"2,019",2,1,1,12,1,2,5,1,2,"9,808.145","74,848.207","4,416,943.676",4
"2,019",2,1,1,12,1,2,5,2,2,"5,601.829","39,212.803","2,272,853.008",3
"2,019",2,1,1,12,1,2,5,2,3,"1,547.798","21,669.172","1,122,153.550",1
"2,019",2,1,1,12,1,2,6,1,2,"16,388.398","120,909.978","13,298,484.345",5
"2,019",2,1,1,12,1,2,6,2,2,"2,921.606","20,451.242","1,327,871.517",2
"2,019",2,1,1,12,1,2,6,2,3,"1,840.233","25,763.262","1,067,335.140",1
"2,019",2,1,1,12,1,2,7,1,2,"8,342.613","65,106.987","2,157,463.041",3
"2,019",2,1,1,12,1,2,7,1,3,"9,984.012","139,776.168","4,727,429.682",2
"2,019",2,1,1,12,1,2,7,2,2,"5,067.028","39,248.693","4,505,330.272",2
"2,019",2,1,1,12,1,2,7,2,3,"4,992.006","104,832.126","5,101,830.132",1
"2,019",2,1,1,12,1,2,9,1,2,"3,354.348","23,480.436","1,529,582.688",2
"2,019",2,1,1,12,2,1,2,2,1,"2,136.545","6,409.635","555,501.700",1
"2,019",2,1,1,12,2,1,2,2,2,"1,825.663","16,430.967","182,566.300",1
"2,019",2,1,1,12,4,1,2,1,2,"1,825.663","10,953.978","912,831.500",1
"2,019",2,1,1,12,4,1,2,1,3,"2,136.545","55,550.170","21,365.450",1
"2,019",2,1,1,12,4,1,2,2,2,"1,825.663","14,605.304","912,831.500",1
"2,019",2,1,1,12,4,1,3,1,1,"1,825.663","5,476.989","365,132.600",1
"2,019",2,1,1,12,4,1,3,1,2,"3,651.326","21,907.956","1,524,428.605",2
"2,019",2,1,1,12,4,1,3,1,3,"2,921.024","43,815.360","972,700.992",1
"2,019",2,1,1,12,4,1,3,2,1,"1,825.663","5,476.989","182,566.300",1
"2,019",2,1,1,12,4,1,3,2,3,"1,547.798","40,242.748","348,254.550",1
